id,type,affiliation_id,label,institution_name,country_code,institution_type,latitude,longitude,raw_affiliation
"affiliation:1 scientific computing group, heidelberg institute for theoretical studies, 69118 heidelberg and 2department of informatics, institute of theoretical informatics, karlsruhe institute of technology, 76128 karlsruhe, germany",affiliation,,"1 Scientific Computing Group, Heidelberg Institute for Theoretical Studies, 69118 Heidelberg and 2Department of Informatics, Institute of Theoretical Informatics, Karlsruhe Institute of Technology, 76128 Karlsruhe, Germany",,,,49.00937,8.40444,"1 Scientific Computing Group, Heidelberg Institute for Theoretical Studies, 69118 Heidelberg and 2Department of Informatics, Institute of Theoretical Informatics, Karlsruhe Institute of Technology, 76128 Karlsruhe, Germany"
"affiliation:1 the conway institute of biomolecular and biomedical research, university college dublin, belfield, dublin 4, ireland, 2laboratoire de biologie et genomique structurales, institut de génétique et de biologie moléculaire et cellulaire, illkirch, france, 3european molecular biology laboratory, meyerhofstrasse 1, 69117 heidelberg, germany and 4embl outstation-european bioinformatics institute, wellcome trust genome campus hinxton, cambridge, cb10 1sd, uk",affiliation,,"1 The Conway Institute of Biomolecular and Biomedical Research, University College Dublin, Belfield, Dublin 4, Ireland, 2Laboratoire de Biologie et Genomique Structurales, Institut de Génétique et de Biologie Moléculaire et Cellulaire, Illkirch, France, 3European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117 Heidelberg, Germany and 4EMBL Outstation-European Bioinformatics Institute, Wellcome Trust Genome Campus Hinxton, Cambridge, CB10 1SD, UK",,,,53.33306,-6.24889,"1 The Conway Institute of Biomolecular and Biomedical Research, University College Dublin, Belfield, Dublin 4, Ireland, 2Laboratoire de Biologie et Genomique Structurales, Institut de Génétique et de Biologie Moléculaire et Cellulaire, Illkirch, France, 3European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117 Heidelberg, Germany and 4EMBL Outstation-European Bioinformatics Institute, Wellcome Trust Genome Campus Hinxton, Cambridge, CB10 1SD, UK"
"affiliation:1 victorian bioinformatics consortium, monash university, clayton 3800 and 2 life sciences computation centre, victorian life sciences computation initiative, carlton 3053, australia",affiliation,,"1 Victorian Bioinformatics Consortium, Monash University, Clayton 3800 and 2 Life Sciences Computation Centre, Victorian Life Sciences Computation Initiative, Carlton 3053, Australia",,,,-37.814,144.96332,"1 Victorian Bioinformatics Consortium, Monash University, Clayton 3800 and 2 Life Sciences Computation Centre, Victorian Life Sciences Computation Initiative, Carlton 3053, Australia"
"affiliation:1 wellcome trust sanger institute, wellcome trust genome campus, cambridge cb10 1sa, 2wellcome trust centre for human genetics, university of oxford, oxford ox3 7bn, uk, 3center for statistical genetics, department of biostatistics, university of michigan, ann arbor, mi 48109, 4program in medical and population genetics, broad institute of mit and harvard, cambridge, ma 02141, 5department of biology, boston college, ma 02467, 6national institutes of health national center for biotechnology information, md 20894, usa and 7department of statistics, university of oxford, oxford ox1 3tg, uk",affiliation,,"1 Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge CB10 1SA, 2Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford OX3 7BN, UK, 3Center for Statistical Genetics, Department of Biostatistics, University of Michigan, Ann Arbor, MI 48109, 4Program in Medical and Population Genetics, Broad Institute of MIT and Harvard, Cambridge, MA 02141, 5Department of Biology, Boston College, MA 02467, 6National Institutes of Health National Center for Biotechnology Information, MD 20894, USA and 7Department of Statistics, University of Oxford, Oxford OX1 3TG, UK",,,,42.3751,-71.10561,"1 Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge CB10 1SA, 2Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford OX3 7BN, UK, 3Center for Statistical Genetics, Department of Biostatistics, University of Michigan, Ann Arbor, MI 48109, 4Program in Medical and Population Genetics, Broad Institute of MIT and Harvard, Cambridge, MA 02141, 5Department of Biology, Boston College, MA 02467, 6National Institutes of Health National Center for Biotechnology Information, MD 20894, USA and 7Department of Statistics, University of Oxford, Oxford OX1 3TG, UK"
"affiliation:1 wellcome trust sanger institute, wellcome trust genome campus, cambridge, cb10 1sa, uk, 2broad institute of mit and harvard, cambridge, ma 02141, usa, 3beijing institute of genomics, chinese academy of science, beijing 100029, china, 4department of computer science, university of california los angeles, los angeles, ca 90095, 5department of biology, boston college, chestnut hill, ma 02467, 6center for statistical genetics, department of biostatistics, university of michigan, ann arbor, mi 48109, usa and 7http://1000genomes.org",affiliation,,"1 Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge, CB10 1SA, UK, 2Broad Institute of MIT and Harvard, Cambridge, MA 02141, USA, 3Beijing Institute of Genomics, Chinese Academy of Science, Beijing 100029, China, 4Department of Computer Science, University of California Los Angeles, Los Angeles, CA 90095, 5Department of Biology, Boston College, Chestnut Hill, MA 02467, 6Center for Statistical Genetics, Department of Biostatistics, University of Michigan, Ann Arbor, MI 48109, USA and 7http://1000genomes.org",,,,34.05223,-118.24368,"1 Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge, CB10 1SA, UK, 2Broad Institute of MIT and Harvard, Cambridge, MA 02141, USA, 3Beijing Institute of Genomics, Chinese Academy of Science, Beijing 100029, China, 4Department of Computer Science, University of California Los Angeles, Los Angeles, CA 90095, 5Department of Biology, Boston College, Chestnut Hill, MA 02467, 6Center for Statistical Genetics, Department of Biostatistics, University of Michigan, Ann Arbor, MI 48109, USA and 7http://1000genomes.org"
"affiliation:107 gardenville drive, yorktown, va 23693",affiliation,,"107 Gardenville Drive, Yorktown, VA 23693",,,,38.88101,-77.10428,"107 Gardenville Drive, Yorktown, VA 23693"
"affiliation:12 university of texas m.d. anderson cancer center , houston, texas",affiliation,,"12 University of Texas M.D. Anderson Cancer Center , Houston, Texas",,,,29.76328,-95.36327,"12 University of Texas M.D. Anderson Cancer Center , Houston, Texas"
"affiliation:195 roque moraes drive, mill valley, ca 94941, usa",affiliation,,"195 Roque Moraes Drive, Mill Valley, CA 94941, USA",,,,37.905982971191406,-122.55424499511719,"195 Roque Moraes Drive, Mill Valley, CA 94941, USA"
"affiliation:1] center for computational biology, mckusick-nathans institute of genetic medicine, johns hopkins university school of medicine, baltimore, maryland, usa. [2] department of biostatistics, bloomberg school of public health, johns hopkins university, baltimore, maryland, usa",affiliation,,"1] Center for Computational Biology, McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA. [2] Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland, USA",,,,39.29038,-76.61219,"1] Center for Computational Biology, McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA. [2] Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland, USA"
"affiliation:1] center for computational biology, mckusick-nathans institute of genetic medicine, johns hopkins university school of medicine, baltimore, maryland, usa. [2] department of biostatistics, bloomberg school of public health, johns hopkins university, baltimore, maryland, usa. [3] department of computer science, johns hopkins university, baltimore, maryland, usa",affiliation,,"1] Center for Computational Biology, McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA. [2] Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland, USA. [3] Department of Computer Science, Johns Hopkins University, Baltimore, Maryland, USA",,,,39.29038,-76.61219,"1] Center for Computational Biology, McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA. [2] Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland, USA. [3] Department of Computer Science, Johns Hopkins University, Baltimore, Maryland, USA"
"affiliation:1] college of american pathologists, chicago, illinois, usa [2] current affiliation: phoenix children's hospital, phoenix, arizona, usa",affiliation,,"1] College of American Pathologists, Chicago, Illinois, USA [2] Current affiliation: Phoenix Children's Hospital, Phoenix, Arizona, USA",,,,42.102115631103516,-87.79639434814453,"1] College of American Pathologists, Chicago, Illinois, USA [2] Current affiliation: Phoenix Children's Hospital, Phoenix, Arizona, USA"
"affiliation:1] cytogenetics/molecular genetics laboratory, nationwide children's hospital, columbus, ohio, usa [2] department of pathology, ohio state university college of medicine, columbus, ohio, usa [3] department of pediatrics, ohio state university college of medicine, columbus, ohio, usa",affiliation,,"1] Cytogenetics/Molecular Genetics Laboratory, Nationwide Children's Hospital, Columbus, Ohio, USA [2] Department of Pathology, Ohio State University College of Medicine, Columbus, Ohio, USA [3] Department of Pediatrics, Ohio State University College of Medicine, Columbus, Ohio, USA",,,,39.961181640625,-82.99878692626953,"1] Cytogenetics/Molecular Genetics Laboratory, Nationwide Children's Hospital, Columbus, Ohio, USA [2] Department of Pathology, Ohio State University College of Medicine, Columbus, Ohio, USA [3] Department of Pediatrics, Ohio State University College of Medicine, Columbus, Ohio, USA"
"affiliation:1] department of pathology and laboratory medicine, university of california los angeles school of medicine, los angeles, california, usa [2] department of pediatrics, university of california los angeles school of medicine, los angeles, california, usa [3] department of human genetics, university of california los angeles school of medicine, los angeles, california, usa",affiliation,,"1] Department of Pathology and Laboratory Medicine, University of California Los Angeles School of Medicine, Los Angeles, California, USA [2] Department of Pediatrics, University of California Los Angeles School of Medicine, Los Angeles, California, USA [3] Department of Human Genetics, University of California Los Angeles School of Medicine, Los Angeles, California, USA",,,,34.05223,-118.24368,"1] Department of Pathology and Laboratory Medicine, University of California Los Angeles School of Medicine, Los Angeles, California, USA [2] Department of Pediatrics, University of California Los Angeles School of Medicine, Los Angeles, California, USA [3] Department of Human Genetics, University of California Los Angeles School of Medicine, Los Angeles, California, USA"
"affiliation:1] facebook ai research, 770 broadway, new york, new york 10003 usa. [2] new york university, 715 broadway, new york, new york 10003, usa",affiliation,,"1] Facebook AI Research, 770 Broadway, New York, New York 10003 USA. [2] New York University, 715 Broadway, New York, New York 10003, USA",,,,37.45383071899414,-122.18218994140625,"1] Facebook AI Research, 770 Broadway, New York, New York 10003 USA. [2] New York University, 715 Broadway, New York, New York 10003, USA"
"affiliation:1] google, 1600 amphitheatre parkway, mountain view, california 94043, usa. [2] department of computer science, university of toronto, 6 king's college road, toronto, ontario m5s 3g4, canada",affiliation,,"1] Google, 1600 Amphitheatre Parkway, Mountain View, California 94043, USA. [2] Department of Computer Science, University of Toronto, 6 King's College Road, Toronto, Ontario M5S 3G4, Canada",,,,37.38605,-122.08385,"1] Google, 1600 Amphitheatre Parkway, Mountain View, California 94043, USA. [2] Department of Computer Science, University of Toronto, 6 King's College Road, Toronto, Ontario M5S 3G4, Canada"
"affiliation:1laboratory for hydrospheric processes/oceans and ice branch, nasa goddard space flight center, greenbelt, md 20771, usa",affiliation,,"1Laboratory for Hydrospheric Processes/Oceans and Ice Branch, NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA",,,,39.00455093383789,-76.87552642822266,"1Laboratory for Hydrospheric Processes/Oceans and Ice Branch, NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA"
"affiliation:1microbial genomics and bioinformatics research group, max planck institute for marine microbiology, d-28359 bremen, 2jacobs university bremen ggmbh, school of engineering and science, d-28759 bremen and 3ribocon gmbh, d-28359 bremen, germany",affiliation,,"1Microbial Genomics and Bioinformatics Research Group, Max Planck Institute for Marine Microbiology, D-28359 Bremen, 2Jacobs University Bremen gGmbH, School of Engineering and Science, D-28759 Bremen and 3Ribocon GmbH, D-28359 Bremen, Germany",,,,53.11038589477539,8.84748363494873,"1Microbial Genomics and Bioinformatics Research Group, Max Planck Institute for Marine Microbiology, D-28359 Bremen, 2Jacobs University Bremen gGmbH, School of Engineering and Science, D-28759 Bremen and 3Ribocon GmbH, D-28359 Bremen, Germany"
"affiliation:35 dorchester close,  headington, oxford, ox3 8ss, uk",affiliation,,"35 Dorchester Close,  Headington, Oxford, OX3 8SS, UK",,,,,,"35 Dorchester Close,  Headington, Oxford, OX3 8SS, UK"
"affiliation:836 owl circle, vacaville, ca 95687, u.s.a. (email: kprice@solano.community.net)#tab#",affiliation,,"836 Owl Circle, Vacaville, CA 95687, U.S.A. (email: kprice@solano.community.net)#TAB#",,,,,,"836 Owl Circle, Vacaville, CA 95687, U.S.A. (email: kprice@solano.community.net)#TAB#"
"affiliation:836 owl circle, vacaville, ca, 95687, u.s.a",affiliation,,"836 Owl Circle, Vacaville, CA, 95687, U.S.A",,,,,,"836 Owl Circle, Vacaville, CA, 95687, U.S.A"
"affiliation:8department of civil engineering, north carolina state university, raleigh, nc 27695–7908, usa",affiliation,,"8Department of Civil Engineering, North Carolina State University, Raleigh, NC 27695–7908, USA",,,,35.7721,-78.63861,"8Department of Civil Engineering, North Carolina State University, Raleigh, NC 27695–7908, USA"
"affiliation:9naval surface warfare center, carderock division, bethesda, md 20084–5000, usa",affiliation,,"9Naval Surface Warfare Center, Carderock Division, Bethesda, MD 20084–5000, USA",,,,38.895111083984375,-77.03636932373047,"9Naval Surface Warfare Center, Carderock Division, Bethesda, MD 20084–5000, USA"
"affiliation:[computer science department, stanford university, stanford, ca]",affiliation,,"[Computer Science Department, Stanford University, Stanford, CA]",,,,37.42411,-122.16608,"[Computer Science Department, Stanford University, Stanford, CA]"
"affiliation:[cornell university, cornell tech, facebook ai research (fair)]",affiliation,,"[Cornell University, Cornell Tech, Facebook AI Research (FAIR)]",,,,42.44063,-76.49661,"[Cornell University, Cornell Tech, Facebook AI Research (FAIR)]"
"affiliation:[cornell university, cornell tech]",affiliation,,"[Cornell University, Cornell Tech]",,,,42.44063,-76.49661,"[Cornell University, Cornell Tech]"
"affiliation:[department of electrical engineering, university of stanford, stanford, ca, usa]",affiliation,,"[Department of Electrical Engineering, University of Stanford, Stanford, CA, USA]",,,,37.42411,-122.16608,"[Department of Electrical Engineering, University of Stanford, Stanford, CA, USA]"
"affiliation:[faculty of computer science, dalhousie university, halifax, ns, canada]",affiliation,,"[Faculty of Computer Science, Dalhousie University, Halifax, NS, Canada]",,,,44.64269,-63.57688,"[Faculty of Computer Science, Dalhousie University, Halifax, NS, Canada]"
"affiliation:[howard hughes medical institute, center for neural science and the courant institute for mathematical sciences, new york university, new york, ny, usa]",affiliation,,"[Howard Hughes Medical Institute, Center for Neural Science and the Courant Institute for Mathematical Sciences, New York University, New York, NY, USA]",,,,39.00287,-77.07115,"[Howard Hughes Medical Institute, Center for Neural Science and the Courant Institute for Mathematical Sciences, New York University, New York, NY, USA]"
"affiliation:[iowa state university, ames, ia 50011, usa.]",affiliation,,"[Iowa State University, Ames, IA 50011, USA.]",,,,42.03471,-93.61994,"[Iowa State University, Ames, IA 50011, USA.]"
"affiliation:[kanpur genetic algorithms lab., indian inst. of technol., kanpur, india]",affiliation,,"[Kanpur Genetic Algorithms Lab., Indian Inst. of Technol., Kanpur, India]",,,,26.46523,80.34975,"[Kanpur Genetic Algorithms Lab., Indian Inst. of Technol., Kanpur, India]"
"affiliation:[kanpur genetic algorithms laboratory, indian institute of technology, kanpur, india]",affiliation,,"[Kanpur Genetic Algorithms Laboratory, Indian Institute of Technology, Kanpur, India]",,,,26.46523,80.34975,"[Kanpur Genetic Algorithms Laboratory, Indian Institute of Technology, Kanpur, India]"
"affiliation:[laboratory for image and video engineering (live), department of electrical and computer engineering, university of texas, austin, austin, tx, usa]",affiliation,,"[Laboratory for Image and Video Engineering (LIVE), Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA]",,,,30.26715,-97.74306,"[Laboratory for Image and Video Engineering (LIVE), Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA]"
affiliation:[mit press],affiliation,,[MIT Press],,,,,,[MIT Press]
"affiliation:[university of california-berkeley, berkeley]",affiliation,,"[University of California-Berkeley, Berkeley]",,,,37.87159,-122.27275,"[University of California-Berkeley, Berkeley]"
"affiliation:[university of north carolina, chapel hill, usa]",affiliation,,"[University of North Carolina, Chapel Hill, USA]",,,,35.9132,-79.05584,"[University of North Carolina, Chapel Hill, USA]"
"affiliation:[visual computing group, microsoft research, beijing, china]",affiliation,,"[Visual Computing group, Microsoft Research, Beijing, China]",,,,47.67399,-122.12151,"[Visual Computing group, Microsoft Research, Beijing, China]"
"affiliation:a coles college of business, kennesaw state university, kennesaw, ga",affiliation,,"a Coles College of Business, Kennesaw State University, Kennesaw, GA",,,,34.02342987060547,-84.61549377441406,"a Coles College of Business, Kennesaw State University, Kennesaw, GA"
"affiliation:a. watson armour iii center for animal health and welfare, aquarium microbiome project, john g. shedd aquarium, chicago, il, usa",affiliation,,"A. Watson Armour III Center for Animal Health and Welfare, Aquarium Microbiome Project, John G. Shedd Aquarium, Chicago, IL, USA",,,,41.867645263671875,-87.61309051513672,"A. Watson Armour III Center for Animal Health and Welfare, Aquarium Microbiome Project, John G. Shedd Aquarium, Chicago, IL, USA"
"affiliation:academic medical center, university of amsterdamthe netherlands",affiliation,,"Academic Medical Center, University of AmsterdamThe Netherlands",,,,52.37403,4.88969,"Academic Medical Center, University of AmsterdamThe Netherlands"
"affiliation:address reprint requests to the dcct research group, box ndic/dcct, bethesda, md 20892",affiliation,,"Address reprint requests to the DCCT Research Group, Box NDIC/DCCT, Bethesda, MD 20892",,,,38.98289489746094,-77.0931167602539,"Address reprint requests to the DCCT Research Group, Box NDIC/DCCT, Bethesda, MD 20892"
"affiliation:adjunct lecturer, sydney school of public health university of sydney sydney new south wales australia",affiliation,,"Adjunct Lecturer, Sydney School of Public Health University of Sydney Sydney New South Wales Australia",,,,-33.86785125732422,151.2073211669922,"Adjunct Lecturer, Sydney School of Public Health University of Sydney Sydney New South Wales Australia"
"affiliation:adjunct lecturer, sydney school of public health, university of sydney, sydney, new south wales, australia",affiliation,,"Adjunct Lecturer, Sydney School of Public Health, University of Sydney, Sydney, New South Wales, Australia",,,,-33.86785125732422,151.2073211669922,"Adjunct Lecturer, Sydney School of Public Health, University of Sydney, Sydney, New South Wales, Australia"
"affiliation:adobe research, san jose, ca, usa",affiliation,,"Adobe Research, San Jose, CA, USA",,,,37.330989837646484,-121.89387512207031,"Adobe Research, San Jose, CA, USA"
"affiliation:advanced technology group, dames & moore, london",affiliation,,"Advanced Technology Group, Dames & Moore, London",,,,39.9572868347168,-75.17220306396484,"Advanced Technology Group, Dames & Moore, London"
"affiliation:aerospace medical division , lackland air force base , usa",affiliation,,"Aerospace Medical Division , Lackland Air Force Base , USA",,,,35.08449172973633,-106.65113830566406,"Aerospace Medical Division , Lackland Air Force Base , USA"
"affiliation:affymetrix, santa clara, california, 95051, usa",affiliation,,"Affymetrix, Santa Clara, California, 95051, USA",,,,47.60621,-122.33207,"Affymetrix, Santa Clara, California, 95051, USA"
"affiliation:agency for healthcare research and quality, rockville, maryland (c.c.)",affiliation,,"Agency for Healthcare Research and Quality, Rockville, Maryland (C.C.)",,,,39.050621032714844,-77.12735748291016,"Agency for Healthcare Research and Quality, Rockville, Maryland (C.C.)"
"affiliation:agricultural research service, genomics and bioinformatics research unit, united states department of agriculture, gainesville, fl, usa",affiliation,,"Agricultural Research Service, Genomics and Bioinformatics Research Unit, United States Department of Agriculture, Gainesville, FL, USA",,,,38.895111083984375,-77.03636932373047,"Agricultural Research Service, Genomics and Bioinformatics Research Unit, United States Department of Agriculture, Gainesville, FL, USA"
"affiliation:aix-marseille université, laboratoire madirel, centre de st jérôme, marseilles, france",affiliation,,"Aix-Marseille Université, Laboratoire MADIREL, Centre de St Jérôme, Marseilles, France",,,,43.29695,5.38107,"Aix-Marseille Université, Laboratoire MADIREL, Centre de St Jérôme, Marseilles, France"
"affiliation:alacris theranostics, d-14195 berlin-dahlem, germany",affiliation,,"Alacris Theranostics, D-14195 Berlin-Dahlem, Germany",,,,52.11235046386719,0.22713500261306763,"Alacris Theranostics, D-14195 Berlin-Dahlem, Germany"
"affiliation:albert einstein college of medicine/montefiore medical center and bronx psychiatric centerbronx, ny",affiliation,,"Albert Einstein College of Medicine/Montefiore Medical Center and Bronx Psychiatric CenterBronx, NY",,,,40.849849700927734,-73.86640930175781,"Albert Einstein College of Medicine/Montefiore Medical Center and Bronx Psychiatric CenterBronx, NY"
"affiliation:alexander silberman institute of life sciences, hebrew university, jerusalem, israel",affiliation,,"Alexander Silberman Institute of Life Sciences, Hebrew University, Jerusalem, Israel",,,,31.76904,35.21633,"Alexander Silberman Institute of Life Sciences, Hebrew University, Jerusalem, Israel"
"affiliation:algorithmic biology laboratory, st. petersburg academic university, russian academy of sciences, st. petersburg, russia",affiliation,,"Algorithmic Biology Laboratory, St. Petersburg Academic University, Russian Academy of Sciences, St. Petersburg, Russia",,,,60.002498626708984,30.373611450195312,"Algorithmic Biology Laboratory, St. Petersburg Academic University, Russian Academy of Sciences, St. Petersburg, Russia"
affiliation:alzheimer disease research center university of california irvine ca usa,affiliation,,Alzheimer Disease Research Center University of California Irvine CA USA,,,,33.66946,-117.82311,Alzheimer Disease Research Center University of California Irvine CA USA
"affiliation:alzheimer disease research center, university of california, irvine, ca, usa",affiliation,,"Alzheimer Disease Research Center, University of California, Irvine, CA, USA",,,,33.66946,-117.82311,"Alzheimer Disease Research Center, University of California, Irvine, CA, USA"
affiliation:alzheimer's association chicago il usa,affiliation,,Alzheimer's Association Chicago IL USA,,,,41.984710693359375,-87.83612060546875,Alzheimer's Association Chicago IL USA
"affiliation:alzheimer's association, chicago, il, usa",affiliation,,"Alzheimer's Association, Chicago, IL, USA",,,,41.984710693359375,-87.83612060546875,"Alzheimer's Association, Chicago, IL, USA"
affiliation:alzheimer's disease centers program national institute on aging bethesda md usa,affiliation,,Alzheimer's Disease Centers Program National Institute on Aging Bethesda MD USA,,,,39.29037857055664,-76.61219024658203,Alzheimer's Disease Centers Program National Institute on Aging Bethesda MD USA
